Name,Projection
Nikola Jokic,62.0
Luka Doncic,60.0
Shai Gilgeous-Alexander,54.5
Anthony Davis,53.8
LeBron James,51.5
LaMelo Ball,50.3
Jayson Tatum,49.5
Brandon Ingram,43.8
Jamal Murray,43.0
Donovan Mitchell,42.5
Jaylen Brown,42.3
Evan Mobley,41.5
Lauri Markkanen,40.8
Kyrie Irving,40.3
Jalen Williams,39.3
Cam Thomas,37.5
John Collins,37.5
Jarrett Allen,36.8
Jaren Jackson Jr.,36.5
Derrick White,35.5
Austin Reaves,35.0
Darius Garland,34.8
Brandon Miller,34.0
Michael Porter Jr.,34.0
Zach Collins,33.8
Desmond Bane,32.5
Dennis Schroder,32.0
Collin Sexton,31.8
Trey Murphy III,31.5
Brandon Boston Jr.,31.5
Miles Bridges,31.0
Cameron Johnson,30.8
Chris Paul,30.0
Keyonte George,29.5
Jrue Holiday,29.3
Jordan Clarkson,28.8
Ben Simmons,28.5
Rui Hachimura,28.3
Yves Missi,27.5
Caris LeVert,27.3
Luguentz Dort,27.0
Al Horford,26.8
D'Angelo Russell,26.8
Christian Braun,26.8
Neemias Queta,26.3
Peyton Watson,26.0
Grant Williams,25.5
Devin Vassell,25.3
Javonte Green,25.0
Keldon Johnson,25.0
Kyle Filipowski,24.8
PJ Washington,24.5
Russell Westbrook,24.5
Scotty Pippen Jr.,24.5
Payton Pritchard,24.0
Klay Thompson,23.3
Stephon Castle,22.8
Dorian Finney-Smith,22.5
Santi Aldama,22.5
Julian Champagnie,22.5
Cason Wallace,22.5
Ziaire Williams,22.3
Dereck Lively II,21.3
Dalton Knecht,21.3
Daniel Gafford,21.0
Aaron Wiggins,20.8
Josh Green,20.5
Brandon Clarke,20.5
Harrison Barnes,20.3
Jaylen Nowell,19.8
Jeremiah Robinson-Earl,19.8
Moussa Diabate,19.3
Naji Marshall,19.3
Tre Mann,19.0
Cody Martin,18.8
Alex Caruso,18.5
Sandro Mamukelashvili,18.5
Georges Niang,18.0
Marcus Smart,18.0
Julian Strawther,18.0
Sam Hauser,17.8
Vince Williams Jr.,17.5
Jalen Wilson,17.0
Tre Jones,16.8
Sam Merrill,16.5
Isaiah Collier,16.5
Noah Clowney,16.3
Jaylen Wells,16.0
Jake LaRavia,15.5
Ajay Mitchell,15.3
Ty Jerome,14.5
Isaac Okoro,14.5
Jamal Cain,14.5
Cody Williams,14.5
Kenrich Williams,14.5
Trendon Watford,13.8
Trey Jemison,13.5
Luke Kennard,13.5
Dillon Jones,13.5
Quentin Grimes,13.0
Jaden Hardy,13.0
Charles Bassey,13.0
Jay Huff,12.3
Cam Reddish,12.0
Drew Eubanks,11.5
Keon Johnson,11.0
Gabe Vincent,10.3
Christian Koloko,9.5
Luke Kornet,8.0
Maxi Kleber,7.8
Tidjane Salaun,7.5
Dario Saric,7.3
Ousmane Dieng,7.3
Spencer Dinwiddie,7.0
Blake Wesley,6.3
Malaki Branham,5.8
Vlatko Cancar,4.3
DeAndre Jordan,3.5
Seth Curry,2.5
Brice Sensabaugh,2.5
Bojan Bogdanovic,0.0
DaQuan Jeffries,0.0
Nic Claxton,0.0
Nick Richards,0.0
Mark Williams,0.0
Kristaps Porzingis,0.0
Dean Wade,0.0
Max Strus,0.0
Emoni Bates,0.0
CJ McCollum,0.0
Dante Exum,0.0
Dejounte Murray,0.0
Jose Alvarado,0.0
Herbert Jones,0.0
Zion Williamson,0.0
Jordan Hawkins,0.0
Christian Wood,0.0
Jarred Vanderbilt,0.0
Jason Preston,0.0
Jaxson Hayes,0.0
Walker Kessler,0.0
Jalen Hood-Schifino,0.0
Taylor Hendricks,0.0
Aaron Gordon,0.0
Ja Morant,0.0
Cam Spencer,0.0
Zach Edey,0.0
DaRon Holmes II,0.0
Gregory Jackson,0.0
Isaiah Hartenstein,0.0
Isaiah Joe,0.0
Jaylin Williams,0.0
Jeremy Sochan,0.0
Chet Holmgren,0.0
Victor Wembanyama,0.0
Nikola Topic,0.0
