PLAYER,FPTS
Nikola Jokic,60.62
Luka Doncic,57.89
Shai Gilgeous-Alexander,55.99
Anthony Davis,54.27
LeBron James,52.44
LaMelo Ball,48.89
Jayson Tatum,48.65
Brandon Ingram,46.4
Jamal Murray,43.85
Lauri Markkanen,42.55
Jaylen Brown,41.37
Donovan Mitchell,41.21
Evan Mobley,39.19
John Collins,39.11
Kyrie Irving,38.8
Jalen Williams,38.64
Cam Thomas,37.64
Jaren Jackson,37.37
Jarrett Allen,36.47
Austin Reaves,35.38
Derrick White,33.59
Michael Porter,33.59
Trey Murphy,33.48
Darius Garland,33.12
Zach Collins,32.69
Dennis Schroder,32.63
Desmond Bane,32.53
Brandon Miller,32.07
Collin Sexton,31.85
Brandon Boston,31.87
Cameron Johnson,31.74
Ben Simmons,31.49
Miles Bridges,30.34
Chris Paul,29.72
Jrue Holiday,29.35
Jordan Clarkson,29.28
Keyonte George,29.18
Rui Hachimura,28.72
Al Horford,28.1
Yves Missi,27.96
Christian Braun,27.91
Javonte Green,27.67
Luguentz Dort,27.64
D'Angelo Russell,27.56
Caris LeVert,27.12
Devin Vassell,26.92
Peyton Watson,25.71
Sandro Mamukelashvili,25.49
Neemias Queta,25.35
Grant Williams,25.18
Scotty Pippen,25.03
Keldon Johnson,24.86
Russell Westbrook,24.63
Dorian Finney-Smith,24.23
Santi Aldama,24.22
P.J. Washington,24.12
Kyle Filipowski,23.94
Cason Wallace,23.76
Aaron Wiggins,23.66
Ziaire Williams,23.46
Stephon Castle,23.41
Julian Champagnie,23.37
Klay Thompson,22.65
Dereck Lively,22.58
Moussa Diabate,20.37
Dalton Knecht,22.07
Payton Pritchard,21.92
Harrison Barnes,21.11
Brandon Clarke,20.46
Jeremiah Robinson-Earl,20.32
Josh Green,19.63
Jaylen Nowell,19.9
Daniel Gafford,19.55
Tre Mann,19.56
Marcus Smart,19.34
Ajay Mitchell,19.27
Isaiah Collier,19.04
Georges Niang,18.79
Cody Martin,18.84
Tre Jones,18.57
Alex Caruso,18.56
Jake LaRavia,18.09
Vince Williams,18.06
Julian Strawther,17.66
Naji Marshall,15.25
Jalen Wilson,17.27
Dillon Jones,17
Jaylen Wells,16.97
Noah Clowney,16.68
Sam Merrill,16.6
Kenrich Williams,16.03
Isaac Okoro,14.88
Sam Hauser,14.87
Jamal Cain,14.76
Trey Jemison,14.74
Cody Williams,14.49
Trendon Watford,13.53
Ty Jerome,13.39
Luke Kennard,13.17
Jaden Hardy,12.85
Jay Huff,12.67
Cam Reddish,11.89
Keon Johnson,11.03
Christian Koloko,11.01
Quentin Grimes,10.52
Gabe Vincent,8.93
Drew Eubanks,7.84
Vlatko Cancar,7.8
Blake Wesley,7.62
DeAndre Jordan,7.17
Ousmane Dieng,7.05
Tidjane Salaun,9.8
Maxi Kleber,7.5
Luke Kornet,6.78
Spencer Dinwiddie,6.91
Seth Curry,4.44
Brice Sensabaugh,5.1
Malaki Branham,3.99
